"Núm. fotog.","Núm. ekta.","Nombre d'exemplars","Any","Autor i data de la fitxa","Bibliografia","Descripció de l'objecte","Estat de conservació","Exposicions","Lloc de procedència","Localització","updated loc.","Mides","obra gràfica =","obra original =","préstec a :","Reproduccions","Restauracions","técnica","Tècnica","Títol","Valoració Econòmica en €","vegap:","Causa de baixa i data","Objectes en relació indicacant n. registre","Edició","Editor","Exemplar","Mides planxa","Marca paper","Impressor","Tiratge","Núm. planxes","Filigrana","trad. castellano","trad. english","trad. français","trad.castellano técnica:","trad.english technique:","trad.français technique:"
,,2,1975,,,"Un poema inèdit amb el mateix títol de Joan Brossa està imprès a la mateix full de paper",,,,"OG","B07","100 x 70 cm","sí",,,,,"Serigrafía en varias tintas","Serigrafia en diverses tintes","Naufragi al Nil",,,,,"75 exs. n. i s., més 1 ex. P.A.s. ","La Mulassa, Sala d'Art, Vilanova i la Geltrú (Barcelona)",,,"Guarro","J. Vallcorba i O. Tressera, Barcelona",,,,,,,,,
,,2,1975,,,,,,,"OG","B07","100 x 70 cm","sí",,,,,"Serigrafía en varias tintas","Serigrafia en diverses tintes","Naufragi al Nil",,,,,"75 exs. n. i s., més 1 ex. P.A. s. El poema inèdit del mateix títolde Joan Brossa està imprès al mateix full de paper","La Mulassa, Sala d'Art, Vilanova i la Geltrú (Barcelona)",,,"Guarro","J. Vallcorba i O. Tressera, Barcelona",,,,,,,,,
"T-3866",,,1984,,,,,,,"RP","1B","193 x 153 cm",,"sí",,,,,"Pintura i llapis sobre paper encolat sobre tela","Negre lateral","135227,723486351",,,,,,,,,,,,,"Negro lateral","Lateral Black","Noir latéral ","Pintura y lápiz sobre papel encolado sobre tela","Paint and pencil on glued paper on canvas","Peinture et crayon sur papier collé sur toile"
,,2,1995,,,,,,,"OG","E20","33 x 50 cm","sí",,,,,"A., aguatinta y S. en dos tintas (2 negros)","A. aiguatinta i S. en dues tintes (2 negres)","Negre sobre gris",,,,,"45 exs. n. 1/45-45/45 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches","Joan Roma y Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,2,1995,,,,,,,"OG","E20","33 x 50 cm.","sí",,,,,"A., aguatinta y S. en dos tintas (2 negros)","A. aiguatinta i S. en dues tintes (2 negres)","Negre sobre gris",,,,,"45 exs. n. 1/45-45/45 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches","Joan Roma y Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,2,1992,,,,,,,"OG","D06","50 x 65 cm.","sí",,,,,"Aguatinta, S.  en varias tintas (2 negros y barniz) y collage de esparto","Aiguatinta, Serigrafia  en diverses tintes (2 negres i vernís) i collage de palla","Negre sobre palla",,,,,"30 exs. n. 1/30-30/30 i s., 2 exs. P.A. s., 2 exs. H.C. s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,2,1992,,,,,,,"OG","D06","50 x 65 cm.","sí",,,,,"Aguatinta, Serigrafía en varias tintas (2 negros y barniz) y collage de esparto","Aiguatinta, Serigrafia en diverses tintes (2 negres i vernís) i collage de palla","Negre sobre palla",,,,,"30 exs. n. 1/30-30/30 i s., 2 exs. P.A. s., 2 exs. H.C. s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,2,1988,,,"Timbrat ""Erker Presse St. Gallen""",,,,"OG","D01","28 x 76 cm","sí",,,,,"Litografía en dos tintas (negro y gris) con relieve","Litografia  en dues tintes (negre i gris) amb relleu ","Neujahrskarte 1988/89",,,,,"100 exs. n. 1/100-100/100 i s.; 80 exs. n. 1/80-80/80 i s.; 20 exs. s. i no n; alguns exs. P.A. sobre paper marró no n. i s. a la pedra; 400 exs. no n. s. a la pedra, doblegats per la meitat, com a felicitació d 'any nou, i 100 exs. Larese & Partner s. a la piedra, no n., doblegats per la meitat, també com a felicitació d' any nou.","Erker-Presse, St. Gallen",,"28 x 76 cm","Arches","Erker-Presse, St. Gallen",,,"Arches France",,,,,,
,,2,1988,,,,,,,"OG","D01","28 x 76 cm","sí",,,,,"Litografía a dos tintas (negro y gris) con relieve","Litografia a dues tintes (negre i gris) amb relleu","Neujahrskarte 1988/89",,,,,"100 exs. n. 1/100-100/100 i s.; 80 exs. n. 1/80-80/80 i s.; 20 exs. s. i no n; alguns exs. P.A. sobre paper marró no n. i s. a la pedra; 400 exs. no n. s. a la pedra, doblegats per la meitat, com a felicitació d 'any nou, i 100 exs. Larese & Partner s. a la piedra, no n., doblegats per la meitat, també com a felicitació d' any nou.","Erker-Presse, St. Gallen",,,"Arches","Erker-Presse, St. Gallen",,,"Arches ",,,,,,
,,2,1993,,,"Pertany a la sèrie de 2 litografies
 ""Tàpies Holzschnitt-Reihe-suite Erke, Arbeiten auf Papier, Terres chamottées, Brouzen"", 1993. Mides del llibre: 30,5 x 23 cm.",,,,"OG","D07","30 x 22 cm.","sí",,,,,"Litografía en una tinta (negro)","Litografia en una tinta (negre)","Ni mots ni lletres",,,,,"150 exs. n. 1/150-150/150 i s., 20 exs. n. I/XX-XX/XX i s. i algunes proves
Els 150 exs. del llibre estan s. per Antoni Tàpies. Cada ex. conté 2 litografíes originals de l'artista.
","Erker-Presse, St. Gallen",,,"Arches","Stoob Steindwck, St. Gallen per a Erker- Presse",,,"Erker-Presse St. Gallen (timbrat)",,,,,,
,,2,1993,,,"Pertany a la sèrie de 2 litografies
 ""Tàpies Holzschnitt-Reihe-suite Erke, Arbeiten auf Papier, Terres chamottées, Brouzen"", 1993. Mides del llibre: 30,5 x 23 cm.",,,,"OG","D07","30 x 22 cm.","sí",,,,,"Litografía en una tinta (negro)","Litografia en una tinta (negre)","Ni mots ni lletres",,,,,"150 exs. n. 1/150-150/150 i s., 20 exs. n. I/XX-XX/XX i s. i algunes proves
Els 150 exs. del llibre estan s. per Antoni Tàpies. Cada ex. conté 2 litografíes originals de l'artista.
","Erker-Presse, St. Gallen",,,"Arches","Stoob Steindwck, St. Gallen per a Erker- Presse",,,"Erker Presse St Gallen (timbrat)",,,,,,
,,2,1978,,,"Aquesta litografia estava destinada a un llibre de bibliòfil que havia de contenir L. de diversos artistes acompanyant els poemes manuscrits de Friederich Nietzsche, que no es va arribar a publicar.",,,,"OG","C01","25 x 48 cm","sí",,,,,"Litografía a una tinta (marrón)","Litografia a una tinta (marró)","Nietzsche. An Richard Wagner",,,,,"200 exs. n. 1/200-200/200 i s., 25 exs. n. I/XXV-XXV/XXV i s., més alguns exs. P.A. s. ","Erker-Presse, St. Gallen",,,"Rives","Erker-Presse, St. Gallen",,,,,,,,,
,,2,1978,,,"Aquesta litografia estava destinada a un llibre de bibliòfil que havia de contenir litografies de diversos artistes acompanyant els poemes manuscrits de Friederich Nietzsche, que no es va arribar a publicar.",,,,"OG","C01","25 x 48 cm","sí",,,,,"Litografía a una tinta (marrón)","Litografia a una tinta (marró)","Nietzsche. An Richard Wagner",,,,,"200 exs. n. 1/200-200/200 i s., 25 exs. n. I/XXV-XXV/XXV i s., més alguns exs. P.A. s. ","Erker-Presse, St. Gallen",,,"Rives","Erker-Presse, St. Gallen",,,,,,,,,
,,2,1978,,,,,,,"OG","C01","25 x 48 cm","sí",,,,,"Litografía en varias tintas","Litografia en varies tintes","Nietzsche. Petit déjeuner",,,,,"200 exs. n.1/200-200/200 i s.;25 exs n.I/XXV-XXV/XXV i s. més alguns exs P.A.s.","Erker-Presse, St. Gallen",,,,"Erker-Presse, St. Gallen",,,,,,,,,
,,2,1978,,,,,,,"OG","C01","25 x 48 cm","sí",,,,,"Litografía en varias tintas","Litografia en varies tintes","Nietzsche. Petit déjeuner",,,,,"200 exs. n.1/200-200/200 i s.;25 exs n.I/XXV-XXV/XXV i s. més alguns exs P.A.s.","Erker-Presse, St. Gallen",,,,"Erker-Presse, St. Gallen",,,,,,,,,
"T-2263",,,1952,,"TAPIÉ, M.  Tàpies.  Milano, Fratelli Frabbri, 1969  làm. 35 (c)
TÀPIES, A.  Mémoire. Paris, Galilée, 1981 p. 299 (b/n)
The Seibu Museum of Art, Tokyo, 1976 núm. 23 (b /n)",,,"""Museum des 20. Jahrunderts, Viena, 1968""
""Kunstverein, Hamburg, 1968. Itinerància: Kunstverein, Köln, 1968""
""The Seibu Museum of Art, Tokyo, 27.8-19.9.76""",,"RP","34A","73 x 92 cm",,"sí",,,,,"Oli sobre tela","Nocturn","210354,236534324",,,,,,,,,,,,,"Nocturno","Nocturne","Nocturne","Óleo sobre tela","Oil on canvas","Huile sur toile"
,,2,1995,,,,,,,"OG","D09","69,5 x 93 cm","sí",,,,,"A., agutinta y S. en varias tintas","A., aiguatinta i S. en diverses tintes ","Nocturn",,,,,"30 exs. n. 1/30-30/30 i s., 2 exs. P.A. n. 1/2-2/2 i s., més 3 exs. H.C. n. 1/3-3/3 i s.","Galeria Toni Tàpies, Barelona",,,"Arches","Magí Baleta, Barcelona",,,"Arches",,,,,,
,,2,1995,,,,,,,"OG","D09","69,5 x 93 cm.","sí",,,,,"A., agutinta y S. en varias tintas","A., aiguatinta i S. en diverses tintes ","Nocturn",,,,,"30 exs. n. 1/30-30/30 i s., 2 exs. P.A. n. 1/2-2/2 i s., més 3 exs. H.C. n. 1/3-3/3 i s.","Galeria Toni Tàpies, Barelona",,,"Arches","Magí Baleta, Barcelona",,,"Arches",,,,,,
,,,1995,,,,,,,"OG","E15","50 x 65 cm.","sí",,,,,"Xilografía en una tinta (negro)","Xilografia en una tinta (negre)","Nocturn",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. s., més alguns exemplars nominals ","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,,1995,,,,,,,"OG","E15","50 x 65 cm.","sí",,,,,"Xilografía en una tinta (negro)","Xilografia en una tinta (negre)","Nocturn",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. s., més alguns exemplars nominals ","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,2,1970,,"Tàpies, Obra gráfica 1947-1972, Gustavo Gili, Barcelona, 1973","Pertany al llibre ""Nocturn matinal"", amb poemes de Joan Brossa i 7 litografies d'Antoni Tàpies. Presentat dins un estoig elaborat per Antoni Tàpies. La sobrecoberta i la coberta també estan elaborades per Antoni Tàpies.",,,,"OG","B03","63 x 110 cm","sí",,,,,"Litografía en dos rosas, amarillo y negro","Litografia en dos roses, groc i negre","Nocturn matinal",,,,,"30 exs. A-Z que, a més, inclouen un dibuix original de l'artista, una suite n. i s. de les 7 L. contingudes en el llibre, un altra L. (núm de catàleg 244) i un A. (núm de catàleg 245), i una altra suite n. i s. de totes les L. ""rehaussées"" per l'artista. 100 exs. n. 1/100-100/100 i 15 exs. H.C. n. I/XV-XV/XV iguals als 30 anteriors, menys el dibuix original. 1000 exs. n. 101/1000-1000/1000. El llibre està signat per l'artista i el poeta a la justificació del tiratge.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,,,,,,,
,,2,1970,,"Tàpies, Obra gráfica 1947-1972, Gustavo Gili, Barcelona, 1973","Pertany al llibre ""Nocturn matinal"",amb poemes de Joan Brossa i 7 litografies d'Antoni Tàpies. Presentat dins un estoig elaborat per Antoni Tàpies. La sobrecoberta i la coberta també estan elaborades per Antoni Tàpies.",,,,"OG","B03","63x 110 cm.","sí",,,,,"Litografía en dos rosas, amarillo y negro","Litografia en dos roses, groc i negre","Nocturn matinal",,,,,"30 exs. A-Z que, a més, inclouen un dibuix original de l'artista, una suite n. i s. de les 7 L. contingudes en el llibre, un altra L. (núm de catàleg 244) i un aiguafort (núm de catàleg 245), i una altra suite n. i s. de totes les L. ""rehaussées"" per l'artista. 100 exs. n. 1/100-100/100 i 15 exs. H.C. n. I/XV-XV/XV iguals als 30 anteriors, menys el dibuix original. 1000 exs. n. 101/1000-1000/1000. El llibre està signat per l'artista i el poeta a la justificació del tiratge.","La Polígrafa, Barcelona ",,,"Vitel·la Guarro","La Polígrafa, Barcelona",,,,,,,,,
,,2,1970,,,"Llibre amb poemes de Joan Brossa i 7 litografies d'Antoni Tàpies. Presentat dins un estoig elaborat per Antoni Tàpies. La sobrecoberta i la coberta també estan elaborades per Antoni Tàpies.",,,,"OG","III03",,"sí",,,,,"L. en bistre i dos negros; L. en bistre i dos negros ""rehaussée"" por el artista; L. en dos negros, gris, rojo y fondo de papel de periódico; L. en dos negros, gris, rojo i fondo de papel de periódico ""rehaussée"" por el artista; L. en dos grises, bistre i negro; L. en dos azules y dos negros, L. en dos azules i dos negros ""rehaussée"" por el artista; L. en dos rosas, amarillo y negro; L. en dos rosas, amarillo y negro ""rehaussée"" por el artista; L.  en dos grises, negro i blanco serigrafiado, L. en dos grises, negro i blanco serigrafiado ""rehaussée"" por el artista; L. en ocre, dos grises, negro y blanco serigrafiado; L. en ocre, dos grises, negro y blanco serigrafiado ""rehaussée"" por el artista; L. en dos negros i rojo; L. en dos negros i rojo ""rehaussée"" por el artista; aguafuerte en ocre y negro.
","L. en bistre i dos negres; L. en bistre i dos negres ""rehaussée"" per l'artista; L. en dos negres, gris, roig i fons de paper de diari; L. en dos negres, gris, roig i fons de paper de diari ""rehaussée"" per l'artista; L. en dos grisos, bistre i negre; L. en dos blaus i dos negres, L. en dos blaus i dos negres ""rehaussée"" per l'artista; L. en dos roses, groc i negre; L. en dos roses, groc i negre ""rehaussée"" per l'artista; L.  en dos grisos, negre i blanc serigrafiat, L. en dos grisos, negre i blanc serigrafiat ""rehaussée"" per l'artista; L. en ocre, dos grisos, negre i blanc serigrafiat; L. en ocre, dos grisos, negre i blanc serigrafiat ""rehaussée"" per l'artista; L. en dos negres i roig; L. en dos negres i roig ""rehaussée"" per l'artista; aiguafort en ocre i negre.","Nocturn matinal",,,,,"30 exs. assenyalats A-Z, acompanyats d'un estudi d'Antoni Tàpies, d'una suite de les 7 L. del llibre, més 1 L. i 1 A., tot a grans marges, s. i una segona suite d'aquestes L., amb dibuixos de l'artista, s. 100 exs. n. 1-100, conformats com els 30exs. esmentats anteriorment, sense el dibuix. 15 exs. H.C. n. I-XV, conformats com els 100 exs. esmentats anteriorment; 1000 exs. n. 101-1100. Tots els exs. estan s. per l'autor i l'artista a la pàg. de justificació.","La Polígrafa, Barcelona",,,"Vitel·la Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,,,,,,,
,,2,1970,,,"Llibre amb poemes de Joan Brossa i 7 litografies d'Antoni Tàpies. Presentat dins un estoig elaborat per Antoni Tàpies. La sobrecoberta i la coberta també estan elaborades per Antoni Tàpies.",,,,"OG","III03",,"sí",,,,,"L. en bistre i dos negros; L. en bistre i dos negros ""rehaussée"" por el artista; L. en dos negros, gris, rojo y fondo de papel de periódico; L. en dos negros, gris, rojo i fondo de papel de periódico ""rehaussée"" por el artista; L. en dos grises, bistre i negro; L. en dos azules y dos negros, L. en dos azules i dos negros ""rehaussée"" por el artista; L. en dos rosas, amarillo y negro; L. en dos rosas, amarillo y negro ""rehaussée"" por el artista; L.  en dos grises, negro i blanco serigrafiado, L. en dos grises, negro i blanco serigrafiado ""rehaussée"" por el artista; L. en ocre, dos grises, negro y blanco serigrafiado; L. en ocre, dos grises, negro y blanco serigrafiado ""rehaussée"" por el artista; L. en dos negros i rojo; L. en dos negros i rojo ""rehaussée"" por el artista; aguafuerte en ocre y negro.","L. en bistre i dos negres; L. en bistre i dos negres ""rehaussée"" per l'artista; L. en dos negres, gris, roig i fons de paper de diari; L. en dos negres, gris, roig i fons de paper de diari ""rehaussée"" per l'artista; L. en dos grisos, bistre i negre; L. en dos blaus i dos negres, L. en dos blaus i dos negres ""rehaussée"" per l'artista; L. en dos roses, groc i negre; L. en dos roses, groc i negre ""rehaussée"" per l'artista; L.  en dos grisos, negre i blanc serigrafiat, L. en dos grisos, negre i blanc serigrafiat ""rehaussée"" per l'artista; L. en ocre, dos grisos, negre i blanc serigrafiat; L. en ocre, dos grisos, negre i blanc serigrafiat ""rehaussée"" per l'artista; L. en dos negres i roig; L. en dos negres i roig ""rehaussée"" per l'artista; aiguafort en ocre i negre.","Nocturn matinal",,,,,"30 exs. assenyalats A-Z, acompanyats d'un estudi d'Antoni Tàpies, d'una suite de les 7 L. del llibre, més 1 L. i 1 A., tot a grans marges, s. i una segona suite d'aquestes L., amb dibuixos de l'artista, s.; 100 exs. n. 1-100, conformats com els 30exs. esmentats anteriorment, sense el dibuix; 15 exs. H.C. n. I-XV, conformats com els 100 exs. esmentats anteriorment; 1000 exs. n. 101-1100. Tots els exs. estan s. per l'autor i l'artista a la pàg. de justificació.","La Polígrafa, Barcelona",,,"Vitel·la Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,,,,,,,
,,2,1981,,,,,,,"OG","C04","63 x 90 cm","sí",,,,,"Grabado al azúcar y carborúndum en dos tintas","Gravat al sucre i carborúndum en dues tintes","Noir et blanc",,,,,"50 exs. n. 1/50-50/50 i s., 15 exs. H.C. n. 1/15-15/15 i s., més 4 exs. P.A. s. Signat a l'esquerra.","Galerie Lelong, París",,,"Arches","J. Barbarà, Barcelona",,3,"Arches",,,,,,
,,2,1981,,,,,,,"OG","C04","63 x 90 cm","sí",,,,,"Grabado al azúcar y carborúndum en dos tintas","Gravat al sucre i carborúndum en dues tintes","Noir et blanc",,,,,"50 exs. n. 1/50-50/50 i s., 15 exs. H.C. n. 1/15 - 15/15 i s., més 4 exs. P.A. s. Signat a l'esquerra","Galerie Lelong, París",,,"Arches","J. Barbarà, Barcelona",,3,"Arches",,,,,,
,,,1980,,,,,,,"OG","C03","61,5 x 56 cm.","sí",,,,,"L. en varias tintas con collage (tejido)","L. en diverses tintes amb collage (teixit)","Noir et cartons",,,,,"75 exs. n. 1/75-75/75 i s., més alguns exs. H.C. s.","Maeght éditeur, París",,,"Arches","Maeght éditeur, París",,,"Arches",,,,,,
,,,1980,,,,,,,"OG","C03","61,5 x 56 cm.","sí",,,,,"L. en varias tintas con collage (tejido)","L. en diverses tintes amb collage (teixit)","Noir et cartons",,,,,"75 exs. n. 1/75-75/75 i s., més alguns exs. H.C. s.","Maeght éditeur, París",,,"Arches","Maeght éditeur, París",,,"Arches",,,,,,
,,2,1968,,,,,,,"OG","E01",,"sí",,,,,,"REVISAR","Noir et craie",,,,,,,,,,,,,,,,,,,
,,2,1968,,,,,,,"OG","E01",,"sí",,,,,,"REVISAR","Noir et craie",,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,"OG","B01","45 x 63 cm.","sí",,,,,"Litografía en negro, ocre, gris y azulado","Litografia en negre, ocre, gris i blavós","Noir et ocre",,,,,"75 exs. n. i s.","Maeght, París",,"45 x 63 cm.","Rives","Arte, A. Maeght, París",,,,,,,,,
,,2,1983,,,,,,,"OG","C06","50 x 66 cm","sí",,,,,"Aguafuerte y carborúndum en dos tintas (rojo y negro) sobre papel fino del tamaño de la plancha encolado sobre papel Arches.","Aiguafort i carborúndum en dues tintes (vermell i negre) sobre paper fi de les mides de la planxa encolat sobre paper Arches","Noir sur rouge",,,,,"50 exs. n. 1/50-50/50 i s., més 15 exs. H.C. n. 1/15-15/15 i s.","Galerie Lelong, París",,,"Arches","J. Barbarà, Barcelona",,,"Arches",,,,,,
,,2,1983,,,,,,,"OG","C06","50 x 66 cm","sí",,,,,"Aguafuerte y carborúndum en dos tintas (rojo y negro) sobre papel fino del tamaño de la plancha encolado sobre papel Arches.","Aiguafort i carborúndum en dues tintes (roig i negre) sobre paper fi de les mides de la planxa encolat sobre paper Arches","Noir sur rouge",,,,,"50 exs. n. 1/50-50/50 i s., més 15 exs. H.C. n. 1/15-15/15 i s.","Galerie Lelong, París",,,"Arches","J. Barbarà, Barcelona",,,"Arches",,,,,,
,,2,1966,,,,,,,"OG","III05","57 x 38 cm","sí",,,,,"Suite de 9 variaciones sobre tres planchas grabadas al buril","Suite de 9 variacions sobre tres planxes gravades al burí","Nou Variacions sobre tres gravats de 1947-1948",,,,,"50 exs n.1-50 i s., 6 exs. n. I-VI i s. que a més a més de les 9 variacions conté una prova estampada en color violeta i una marró de cada una de les tres planxes. Van acompanyats a més a més d'una prova de cada planxa inutilitzada, 3 exs. A,B,C idèntics als 6 anteriors acompanyats a més d'un dibuix original i d'una de les planxes inutilitzades. 8 exs. D a K iguals als 50 primers reservats als col·laboradors. Tots els gravats van colocats dins un plec del mateix paper Guarro amb el seu títol. Presentats en una caixa folrada amb tela. Totes les proves estan s.","Sala Gaspar, Barcelona (1966)",,,"Guarro especial","Taller Joan Josep Torralba i Miquel Vilà, Barcelona",,3,"Sala Gaspar",,,,,,
,,,1966,,,,,,,"OG","III05","57 x 38 cm","sí",,,,,"Suite de 9 variaciones sobre tres planchas grabadas al buril","Suite de 9 variacions sobre tres planxes gravades al burí","Nou Variacions sobre tres gravats de 1947-1948",,,,,"50 exs n.1-50 i s., 6 exs. n. I-VI i s. que a més a més de les 9 variacions conté una prova estampada en color violeta i una marró de cada una de les tres planxes. Van acompanyats a més a més d'una prova de cada planxa inutilitzada, 3 exs. A,B,C idèntics als 6 anteriors acompanyats a més d'un dibuix original i d'una de les planxes inutilitzades. 8 exs. D a K iguals als 50 primers reservats als col·laboradors. Tots els gravats van colocats dins un plec del mateix paper Guarro amb el seu títol. Presentats en una caixa folrada amb tela. Totes les proves estan s.","Sala Gaspar, Barcelona (1966)",,"24 x 17 cm","Guarro especial","Taller Joan Josep Torralba i Miquel Vilà, Barcelona",,3,"Sala Gaspar",,,,,,
"T-1704 T-1723 T-1737 T-1739 T-1745",,2,1965,,,"Llibre amb text de Joan Brossa i 31 litografies d'Antoni Tàpies. Paper realitzat expressament per aquesta obra",,,,"OG","III03","39,2 x 28,4 cm i 39,2 x 56,8 cm","sí",,,,,"L. en dos negros y dos grises; L. en negro y gris; L. en dos negros, doblada y arrigada; L. en dos negros; L. en negro L. en dos grises; L. en negro y gris doblada; L. en dos grises troquelada; L. en negro y gris rasgada","L. en dos negre i dos grisos; L. en negre i gris; L. en dos negres, doblegada i arrugada; L. en dos negres; L. en negre; L. en dos grisos; L. en negre i gris doblegada; L. en dos grisos troquelada; L. en negre i gris estripada","Novel.la","90,1518156576",,,,"140 exs. n. 1-140, 10 exs. A-J reservats per als col·laboradors. Tots els exemplars estan s. per Antoni Tàpies a la pàgina de justificació del tiratge.","Sala Gaspar, Barcelona",,,"Vitel·la Guarro","Foto-Repro, Barcelona, sota la direcció de Damià Caus",,,"Tàpies-Sala Gaspar",,,,,,
"14",,2,1965,,,,,,,"OG","III03","39,2 x 28,4 cm i 39,2 x 56,8 cm","sí",,,,,"L. en dos negros y dos grises; L. en negro y gris; L. en dos negros, doblada y arrigada; L. en dos negros; L. en negro L. en dos grises; L. en negro y gris doblada; L. en dos grises troquelada; L. en negro y gris rasgada","L. en dos negre i dos grisos; L. en negre i gris; L. en dos negres, doblegada i arrugada; L. en dos negres; L. en negre; L. en dos grisos; L. en negre i gris doblegada; L. en dos grisos troquelada; L. en negre i gris estripada","Novel.la",,,,,"140 exs. n. 1-140, 10 exs. A-J reservats per als col·laboradors. Tots els exemplars estan s. per Antonib Tàpies a la pàgina de justificació del tiratge.","Sala Gaspar, Barcelona",,,"Vitel·la Guarro","Foto-Repro, Bacelona, sota la direcció de Damià Caus",,,"Tàpies-Sala Gaspar",,,,,,
,,,1984,,,,,,,"OG","C07","80 x 108,5 cm.","sí",,,,,"A., resinas y carborúndrum en varias tintas y collage (papel)","A., resines i carborúndrum en diverses tintes i collage (paper)","Nu",,,,,"50 exs. n. 1/50-50/50 i s., 15 exs. H.C. n. 1/15-15/15 i s., més 8 exs. P.A. n. 1/8-8/8 i s","Galerie Lelong, París",,,"Rives","J, Barbarà, Barcelona",,,"Rives",,,,,,
"T-4938",,,1986,,,,,,,"OG","II005","31 x 21 cm",,"sí",,,,,"Pintura sobre cartó ondulat","Número 100 II","30050,6052191891",,,,,,,,,,,,,"Número 100 II","Number 100 II","Numéro 100 II","Pintura sobre cartón ondulado","Paint on corrugated cardboard","Peinture sur carton ondulé"
,,2,1976,,,,,,,"OG","B09","90 x 63 cm.","sí",,,,,"Aguatinta y L. en varias tintas. Plancha sobre fondo litografiado","Aiguatinta i L. en diverses tintes.Planxa sobre fons litografiat","Numéro sept",,,,,"50 exs. n. i s., més 15 exs. H.C. n. I/XV-XV/XV i s.","Galeria Maeght, Barcelona",,,"Arches","J. Barbarà, Barcelona",,,"Arches",,,,,,
,,2,1976,,,,,,,"OG","B09","90 x 63 cm.","sí",,,,,"Aguatinta y L. en varias tintas. Plancha sobre fondo litografiado","Aiguatinta i L. en diverses tintes.Planxa sobre fons litografiat","Numéro sept",,,,,"50 exs. n. i s., més 15 exs. H.C. n. I/XV-XV/XV i s.","Galeria Maeght, Barcelona",,,"Arches","J. Barbarà, Barcelona",,,"Arches",,,,,,
,,2,1987,,,,,,,"OG","E09","56 x 76 cm.","sí",,,,,"Aguafuerte y carborúndum en varias tintas (marrón, ocre, blanco y negro) con relieve","Aiguafort i carborúndum en diverses tintes (marró, ocre, blanc i negre) amb relleu","Objectes",,,,,"99 exs. n. 1/99-99/99 i s., 15 exs. P.A. n. I/XV-XV/XV i s., 15 exs. H.C. n. 1/15-15/15 i s., més 5 exs. H.C. s., més 1 ex. P.A. s.","Polígrafa Obra Gràfica SL, Barcelona",,,"Lafranca fet a mà","Talleres de Polígrafa Obra Gràfica SL, Barcelona",,4,,,,,,,
,,2,1987,,,,,,,"OG","E09","56 x 76 cm.","sí",,,,,"Aguafuerte y carborúndum en varias tintas (marrón, ocre, blanco y negro) con relieve","Aiguafort i carborúndum en diverses tintes (marró, ocre, blanc i negre) amb relleu","Objectes",,,,,"99 exs. n. 1/99-99/99 i f., 15 exs. P.A. n. I/XV-XV/XV i f., 15 exs. H.C. n. 1/15-15/15 i f., més 5 exs. H.C. f., més 1 ex. P.A. f.","Polígrafa Obra Gràfica SL, Barcelona",,,"Lafranca fet a mà","Talleres de Polígrafa Obra Gràfica SL, Barcelona",,4,,,,,,,
"T-3323",,,1983,,,,,,,"OG","I063","70 x 50 cm",,"sí",,,,,"Pintura sobre paper","Ocell de presa I","51086,0288726215",,,,,,,,,,,,,"Pájaro de presa I","Bird of Prey I","Oiseau de proie I ","Pintura sobre papel","Paint on paper","Peinture sur papier"
"T-1763",,,1972,,,,,,,"RP","10A","130 x 162 cm",,"sí",,,,,"Procediment mixt sobre tela","Ocre i taques blaves","336566,778454918",,,,,,,,,,,,,"Ocre y manchas azules","Ochre and Blue Stains","Ocre aux taches bleues","Técnica mixta sobre tela","Mixed media on canvas","Technique mixte sur toile"
"T-105",,,1953,,,,,,,"RP","8B","130 x 162 cm",,"sí","MACBA (fins nov. 05)",,,,"Oli  sobre tela","Ocre-gris","3005,0605219189",,,,,,,,,,,,,"Ocre-gris","Ochre-Grey","Ocre-gris","Óleo sobre tela","Oil on canvas","Huile sur toile"
"T-618",,,1962,,,,,,,"RP","en expo","260 x 195 cm",,"sí",,,,,"Procediment mixt sobre tela","Ocre-gris sobre marró","4207,0847306865",,,,,,,,,,,,,"Ocre-gris sobre marrón ","Ochre-Grey over Brown ","Ocre-gris sur marron","Técnica mixta sobre tela","Mixed media on canvas","Technique mixte sur toile"
