"any","Codi arxiu digital","duració","exposició","instal.lació","núm. inventari","observacions","préstec","productor","qualitat","Realització","so","status","suport","tipus","títol"
"1997",,"55 min. aprox.","Lygia Clark","Proposals",118,"Vídeo SENSE EDITAR passat durant l'exposició en 3 monitors de 14 inches a la ""banyera"".
Només va servir per el primers dies expo. NO USAR",,"Fundació Antoni Tàpies","bona","Aleix Gallardet","ambient","còpia 2","VHS","color","Lygia Clark Proposals. Propostes realitzades a la FAT el 18 d'octubre de 1997 (Andrea Cruz, Tomeu Gomila, Herbert Schneider, Myriam Puti, ...)"
"1997",,"55 min. aprox.","Lygia Clark","Proposals",140,"Còpia de Umàtic núm. inv. 95 afegint crèdits de la producció de la FAT. Això es va fer per tal de deixar una còpia d'aquest al MOCA, Los Ángeles.","Babuin, digitalització (desembre 2010)","Fundació Antoni Tàpies","bona","Aleix Gallardet","ambient","original","Umàtic alta banda","color","Lygia Clark Proposals. Propostes realitzades a la FAT el 18 d'octubre de 1997."
"2001","049_FV7_C016_NI479","180 min.","INSIDEOUT: jardí del cambalache",,479,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Llavors al museu; La patente de las judías; El arcano de la quina; Paradís domèstic"
"2001",,"180 min.","INSIDEOUT: jardí del cambalache",,480,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Llavors al museu; La patente de las judías; El arcano de la quina; Paradís domèstic"
"2001","049_FV7_C016_NI482","60 min. aprox.","INSIDEOUT: jardí del cambalache",,482,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Llavors per l'eternitat"
,"040_FV7_C016_NI401","135 min.","El Cinema Calculat","auditori",401,"cedida per Barcelona Televisió","Babuin, digitalització (gener 2011)","BTV",,"BTV","si","1/1","VHS","color","Llenguatge-màquina: permutacions: Filmblock I (random/text I/text II/ go/ orange), Poemfield 2, Permutations, Threshold, Nachtlicht, Five Improvisations, Split Decision; L'arabesc còsmic: Yantra, Radio Dynamics, Allures, Cibernetik 5.3, Piece Mandala/End War, Cosmos, Celery Stalks at Midnight, Arabesque, Sunstone, Moe's Field"
"1965-1982
x",,"1 hora y 30 min.","Entusiasme","Labour",616,,,"Neil Cummings y Marysia Lewandowska","buena","ver campo titulo","con sonido, idioma polaco","1","dvd","color","M. Korus y J: Ridan ""Wspótczesna Symfonia ""(Sinfonia contemporánea), 1971;A.Stefanski ""Ludzie z bazy"" (Gente de la base), 1965; Z.Zinczuk ""Ziemia"" (Tierra), 1976; A. Kreis "" Piosenka dla robotnika rennej zmiany"" (Canción para el obrero del turno matinal), 1982; T.Junak""Symbioza"" (Simbiosis), 1969; K. Janicki y M. Baranski "" Homo"", 1975; L.Wojtala ""Blisko piekta"" (Cerca del infierno), años setenta; K.Janicki y M.Baranski ""Razem"" (Juntos), 1977; Z.Dusza y I. Radz ""Petent"" (Peticionario), años setenta; T Wudzki ""Syzyfowie"" (Sisifo), 1971. "
"1978",,"4 min 35 s","Sanja Iveković. Alerta general. Obres 1974-2007",,644,,,"Galleria del Cavallino, Venezia",,"Sanja Iveković",,,"DVD, video, colour, sound",,"Make up - Make down"
"2000
",,"70 min","video d'ocasió",,540,"todos los videos contenidos en este dvd forman parte de la sección malsons esènics dentro del ciclo video d'occasió.",,"babuin","buena","Rámon Colomina, Silvia Genovés, toti Rovira, lulu Martorell, Lucas Caraba, Antonio Ortega, J.L. Marzo, fito Rodriguez, Domingo Sanchéz Blanco  ","con y sin sonido","1","dvd","color y blanco y negro","MALSONS ESCE`NICS: Dr. Feo (2000), Determinación de personaje (2000), El show de walter ego y hugo nota (2000), boxeo-puerto rico (2000)"
,"051_FV7_C016_NI524","60 min.","Arquitectures del discurs",,524,,"Babuin, digitalització (gener 2011)","Video Data Bank (The School - The Art Institute of Chicago)",,"Chip Lord","si","1/3","VHS","color","Mapping A City of Fragments v. 2"
,,"60 min.","Arquitectures del discurs",,525,,,"Video Data Bank (The School - The Art Institute of Chicago)",,"Chip Lord","si","2/3","VHS","color","Mapping A City of Fragments v. 2"
,,"60 min.","Arquitectures del discurs",,526,,,"Video Data Bank (The School - The Art Institute of Chicago)",,"Chip Lord","si","3/3","VHS","color","Mapping A City of Fragments v. 2"
,,"60 min.","Arquitectures del discurs",,466,"video que formava part de la contribució de Virginia Villaplana. Són cintes propietat de la FAT, comprades, poden ser utilitzades.",,"Video Data Bank. The School · The Art Institute of Chicago",,"Chip Lord","si","1/1","VHS PAL","color","Mapping A City of Fragments v.2"
,"031_FV7_C016_NI261",,"Marcel Broodthaers Cinema",,261,"Video fet per Cordula Daus","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies",,"1/1","VHS",,"Marcel Broodthaers Cinema"
,,"48 min.","Rainer Oldendorf","Marco",354,"còpia per a exposició",,,,,"si","1/3","VHS PAL","color","Marco 1-5"
,"044_FV7_C016_NI355","48 min.","Rainer Oldendorf","Marco",355,"còpia per a exposició","Babuin, digitalització (gener 2011)",,,,"si","2/3","VHS PAL","color","Marco 1-5"
,,"48 min.","Rainer Oldendorf","Marco",356,"còpia per a exposició","CEDIT A LA BIBLIOTECA (16/1/2001)",,,,"si","3/3","VHS PAL","color","Marco 1-5"
,"044_FV7_C016_NI357","55 min.","Rainer Oldendorf","Marco",357,"còpia per a exposició","Babuin, digitalització (gener 2011)",,,,"si","1/4","VHS PAL","color","Marco 6-9"
,,"55 min.","Rainer Oldendorf","Marco",358,"còpia per a exposició",,,,,"si","2/4","VHS PAL","color","Marco 6-9"
,,"55 min.","Rainer Oldendorf","Marco",359,"còpia per a exposició","CEDIT A LA BIBLIOTECA (16/1/2001)",,,,"si","3/4","VHS PAL","color","Marco 6-9"
,,"55 min.","Rainer Oldendorf","Marco",360,"còpia per a exposició",,,,,"si","4/4","VHS PAL","color","Marco 6-9"
"2004",,"35 min.","Tour-ismes. La derrota de la dissensió",,576,,"Montse Romaní 27/2/07",,,"Javier Camarasa y Jorge Luis Marzo","sonido","1","dvd","color","Más allá de la tierra, más cerca de los sueños"
,"046_FV5_C017_NI376","5 min. 41 seg.","Matt Mullican. Més detalls d'un univers imaginari",,376,"còpia feta per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Fundació Antoni Tàpies","bona","Fundació Antoni Tàpies","si","1/1","Betacam SP S","color","Matt Mullican under Hypnosis; Matt Mullican. Shirts on/off; Matt Mullican. The Computer Project; Matt Mullican. Pattern/SPA/Lecture;   Matt Mullican. Five into One"
"2000-2001",,"3 min. 41 seg.","Matt Mullican. Més detalls d'un univers imaginari",,511,"PREMSA",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","Betacam SP S","color","Matt Mullican under Hypnosis; Shirts on/off; The Computer Project; Pattern/SPA/Lecture; Five into One"
"1985","037_FV7_C016_NI181","65 min","Chris Marker","auditori (cicle de cinema)",181,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)","Telcipro (distribuidora)",,"Chris Marker","bo","còpia 1/1","VHS","color","Mémoires pour Simone"
"1984","033_FV7_C016_NI100","29 minuts","Lygia Clark","Relaxaçao",100,"Subtítulat en català.
Vídeo passat durant l'explosició amb un monitor a la part de relaxació.
Original digital està a Manual","Babuin, digitalització (gener 2011)","Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 1","VHS","color","Memória do corpo"
"1984",,"29 minuts","Lygia Clark","Relaxaçao",101,"Subtítulat en català.
Vídeo passat durant l'explosició amb un monitor a la part de relaxació.
Original digital està a Manual","Vídeo passat durant l'explosició amb un monitor a la part de relaxació.
Original digital està a Manual. Prestat al MACBA EL 7/2/01. Cedit a la Biblioteca el  6/2/2002.","Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 2","VHS","color","Memória do corpo"
"1984",,"30' 25''","Lygia Clark","Relaxaçao",102,"subtítulat en francès.
Còpia enviada amb l'exposició al MAC (Marsella)
Original digital està a Manual",,"Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 1","VHS","color","Memória do corpo"
"1984",,"30' 25''","Lygia Clark","Relaxaçao",103,"subtítulat en francès.
Còpia enviada amb l'exposició al MAC (Marsella)
Original digital està a Manual",,"Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 2","VHS","color","Memória do corpo"
"1984",,"30' 25''","Lygia Clark","Relaxaçao",104,"subtítulat en francès.
Còpia enviada amb l'exposició a PBA (Bruxelles).Retornada 13/10/98
Original digital està a Manual","CEDIT A LA BIBLIOTECA (16/1/2001)","Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 3","VHS","color","Memória do corpo"
"1984","033_FV7_C016_NI105","30' 25''","Lygia Clark","Relaxaçao",105,"subtítulat en francès.
Còpia enviada amb l'exposició a PBA (Bruxelles). Retornada 13/10/98
Original digital està a Manual","Babuin, digitalització (gener 2011)","Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 4","VHS","color","Memória do corpo"
"1984",,"29 minuts","Lygia Clark","Relaxaçao",116,"Subtítulat en català.
Vídeo passat durant l'explosició amb un monitor a la part de relaxació.
Original digital està a Manual","Vídeo passat durant l'explosició amb un monitor a la part de relaxació.
Original digital està a Manual","Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 3","VHS","color","Memória do corpo"
"1984",,"29 minuts","Lygia Clark","Relaxaçao",129,"Versió original
Còpia enviada amb l'exposició a FS (Porto)
Original digital està a Manual",,"Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 1","VHS","color","Memória do corpo"
"1984",,"29 minuts","Lygia Clark","Relaxaçao",130,"Versió original
Còpia enviada amb l'exposició a FS (Porto)
Original digital està a Manual",,"Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 2","VHS","color","Memória do corpo"
"1984",,"29 minuts","Lygia Clark","Relaxaçao",136,"Versió original
Còpia no usada, bona.",,"Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 1","VHS","color","Memória do corpo"
"1984",,"30' 25''","Lygia Clark","Relaxaçao",137,"subtítulat en francès.
Còpia no usada, bona.",,"Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 3","VHS","color","Memória do corpo"
"1984",,"29 minuts","Lygia Clark","Relaxaçao",100,"Subtítulat en català.
Vídeo passat durant l'explosició amb un monitor a la part de relaxació.
Original digital està a Manual",,"Videoarte, Rio de Janeiro","bona","Mário Carneiro","si","còpia 1","VHS","color","Memória do corpo"
,"061_FV7_C016_NI544","00:41:53","Indivisuals",,544,"Sembla que l'àudio estigui malmès. Hi ha talls entre els reportatges.","Babuin, digitalització (gener 2011)","Mendel Art Gallery i Saskatoon","buena",,"no","1","vhs","color","Mendel Art Gallery i Saskatoon (organizadores exposición). Imatges de montatge i exposició d'Indivisuals a Mendel Art Gallery i Saskatton."
"1999",,"53 min. 43 seg.","Merce Cunningham",,234,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició.
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","2/3","VHS pal","color","Merce Cunningham 50´s
Seqüència de 9 min .47 seg. repetida 6 vegades"
"1999",,"53 min. 43 seg.","Merce Cunningham",,235,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició.
Còpia de seguretat","CEDIT A LA BIBLIOTECA (16/1/2001)","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","3/3","VHS pal","color","Merce Cunningham 50´s
Seqüència de 9 min .47 seg. repetida 6 vegades"
"1999",,"53 min. 43 seg.","Merce Cunningham",,349,"còpia per a exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/1","VHS","color","Merce Cunningham 50´s
Seqüència de 9 min .47 seg. repetida 6 vegades"
"1999",,"53 min. 43 seg.","Merce Cunningham",,233,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició.
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/3","VHS pal","color","Merce Cunningham 50´s
Seqüència de 9 min .47 seg. repetida 6 vegades"
"1999","038_FV4_C016_NI228","53 min. 43 seg.","Merce Cunningham",,228,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","màster","Betacam SP L","color","Merce Cunningham 50´s
Seqüència de 9 min .47 seg. repetida 6 vegades
Trackers
Beach Birds
Enter 
Ground Level Overlay
Scenario"
"1999",,"59 min. 23 seg.","Merce Cunningham",,237,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició.
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","2/3","VHS pal","color","Merce Cunningham 60´s
Seqüència de 17 min. 45 seg. repetida 3 vegades"
"1999",,"59 min. 23 seg.","Merce Cunningham",,238,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició.
Còpia de seguretat","CEDIT A LA BIBLIOTECA (16/1/2001)","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","3/3","VHS pal","color","Merce Cunningham 60´s
Seqüència de 17 min. 45 seg. repetida 3 vegades"
"1999",,"59 min. 23 seg.","Merce Cunningham",,350,"Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/1","VHS pal","color","Merce Cunningham 60´s
Seqüència de 17 min. 45 seg. repetida 3 vegades"
"1999",,"59 min. 23 seg.","Merce Cunningham",,236,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició.
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/3","VHS pal","color","Merce Cunningham 60´s
Seqüència de 17 min. 45 seg. repetida 3 vegades
"
"1999","038_FV4_C016_NI228","59 min. 23 seg.","Merce Cunningham",,229,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","màster","Betacam SP L","color","Merce Cunningham 60´s
Seqüència de 17 min. 45 seg. repetida 3 vegades
Crises
Story
Variations
Rainforest
Walkaround Time

"
"1999",,"58 min.14 seg.","Merce Cunningham",,240,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","2/3","VHS pal","color","Merce Cunningham 70´s
Seqüència de 14 min. 30 seg. repetida 4 vegades"
"1999",,"58 min.14 seg.","Merce Cunningham",,241,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia de seguretat","CEDIT A LA BIBLIOTECA (16/1/2001)","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","3/3","VHS pal","color","Merce Cunningham 70´s
Seqüència de 14 min. 30 seg. repetida 4 vegades"
"1999",,"58 min.14 seg.","Merce Cunningham",,351,"Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/1","VHS pal","color","Merce Cunningham 70´s
Seqüència de 14 min. 30 seg. repetida 4 vegades"
"1999",,"58 min.14 seg.","Merce Cunningham",,239,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/3","VHS pal","color","Merce Cunningham 70´s
Seqüència de 14 min. 30 seg. repetida 4 vegades
"
"1999","038_FV4_C016_NI230","58 min.14 seg.","Merce Cunningham",,230,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","màster","Betacam SP L","color","Merce Cunningham 70´s
Seqüència de 14 min. 30 seg. repetida 4 vegades
Sounddance
Solo
Torse
Travelogue
Exchange"
"1999",,"56 min. 36 seg.","Merce Cunningham",,243,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","2/3","VHS pal","color","Merce Cunningham 80´s
Seqüència de 14 min. 06 seg. repetida 4 vegades"
"1999",,"56 min. 36 seg.","Merce Cunningham",,244,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia de seguretat","CEDIT A LA BIBLIOTECA (16/1/2001)","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","3/3","VHS pal","color","Merce Cunningham 80´s
Seqüència de 14 min. 06 seg. repetida 4 vegades"
"1999",,"56 min. 36 seg.","Merce Cunningham",,352,"Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/1","VHS pal","color","Merce Cunningham 80´s
Seqüència de 14 min. 06 seg. repetida 4 vegades"
"1999",,"56 min. 36 seg.","Merce Cunningham",,242,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/3","VHS pal","color","Merce Cunningham 80´s
Seqüència de 14 min. 06 seg. repetida 4 vegades
"
"1999","038_FV4_C016_NI231","56 min. 36 seg.","Merce Cunningham",,231,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","màster","Betacam SP L","color","Merce Cunningham 80´s
Seqüència de 14 min. 06 seg. repetida 4 vegades
Channels/Inserts
Roaratorio
Pictures
Points In Space
August Pace"
"1999",,"51 min. 36 seg.","Merce Cunningham",,246,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","2/3","VHS pal","color","Merce Cunningham 90´s
Seqüència de 17 min. 7 seg. repetida 3 vegades"
"1999",,"51 min. 36 seg.","Merce Cunningham",,247,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia de seguretat","CEDIT A LA BIBLIOTECA (16/1/2001)","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","3/3","VHS pal","color","Merce Cunningham 90´s
Seqüència de 17 min. 7 seg. repetida 3 vegades"
"1999",,"51 min. 36 seg.","Merce Cunningham",,353,"Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/1","VHS pal","color","Merce Cunningham 90´s
Seqüència de 17 min. 7 seg. repetida 3 vegades"
"1999",,"51 min. 36 seg.","Merce Cunningham",,245,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició
Còpia per usar a l'exposició",,"Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","1/3","VHS pal","color","Merce Cunningham 90´s
Seqüència de 17 min. 7 seg. repetida 3 vegades
"
"1999","038_FV4_C016_NI232","51 min. 36 seg.","Merce Cunningham",,232,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation",,"Merce Cunningham Foundation","bo","màster","Betacam SP L","color","Merce Cunningham 90´s
Seqüència de 17 min. 7 seg. repetida 3 vegades
Septet
Minutiae
Antic Meet
Night Wandering
Changeling
"
"2001",,"01:29:51",,,732,"Sense subtítols","Biblioteca té l'original","American Masters","Bona","Charles Atlas","V.O. en anglès",,"DVD",,"Merce Cunningham. A Lifetime of Dance"
"2008, 2009",,"7 min 06 s","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell 2, àrea d’Arts combinatòries",747,"Loop (en bucle)",,"Col·lecció de l'artista, Bruges","Bona","Ria Verhaeghe","NO",,"DVD","Color, Loop","Milk anb Bread (Llet i pa), 2008-2009
Spinnet (Filadora), 2009"
"1983","036_FV3_C016_NI148","38' 13''","Dan Graham","Interior design for space showing videos",148,"còpia feta de l'original que va deixar Glòria Moure
còpia passada durant l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"Dan Graham","si","còpia única","U-Matic","color, NTSC","Minor Threat"
"1999
","061_FV7_C016_NI545","33 min.","Indivisuals",,545,,"Babuin, digitalització (gener 2011)","btv producció","buena","Pep Dardanyà","so","1","vhs","color","Miradas Secuestradas"
"2010",,"00:05:52
Loop",,"Nivell 2 (Terrassa)",841,,,"Fundació Antoni Tàpies","Bona","Miquel Tàpies i Linda Valdés","V.O. en català",,"DVD Loop","Color","Mitjó, 1992-2010"
"2001; 2001; 1999; 2000; 1975
",,"65 mins","Videos d'ocasió",,541,"todos los videos de este dvd forman parte de la sección Moment dentro del ciclo videos d'ocasió",,"Fundació Antoni Tàpies","buena","D. Herskowitz, N. Farhid, X. Cuevas, F. Audéoud, T.R. Uthco i Ant Farm","con y sin sonido","1","dvd","color y blanco y negros","MOMENTS: mother with daughhter at kitchen table(2001), she wants me to go to heaven (2001), Contemporary artist (1999), She prepared the staging of her own death (2000); The eternal frame (1975)"
"1977",,"2 min.","El sueño del publico: Teresa Hak kyung Cha","Monologue",612,,,,"buena","Teresa Hak kyung Cha","voz de la artista","1","cd audio",,"Monologue"
"1975",,"7 min. 40 s.","El sueño del público: Theresa Hak Kyung Cha","Mouth-to-mouth",604,,,"?",,"Theresa Hak Kyung Cha","sonido","1","dvd","blanco y negro","Mouth to mouth (boca a boca)."
"23 oct, 20 nov, 18 des 2010 i 15 gen 2011",,"1. 00:57:58
2. 00:51:02
3. 00:55:50
4. 00:50:50","Anna Maria Maiolino","Nivell -2",843,"Ballarins:
1. Morgan Reid, Amélie Ségarra, Mª Pilar Sospreda.
2. Eulàlia Bergada, Margherita Bergamo, Àngela Boix, Juan Carlo Castillo, Albert Garcia, Laura Gutiérrez, Juliette Louste, Karolina Rychlik.
3. Simona Argentieri, Zoe Desquènes, Albert Garcia, Laura Gutiérrez, Juliette Louste, Oscar Pérez.
4. Margherita Bergamo, Doe Desquènes, Albert Garcia, Laura Gutiérrez, Juliette Louste, Ángela Peris, Morgan Reid, Karolina Rychlik, Amélie Ségarra.
",,"Fundació Antoni Tàpies.
IT Dansa Jove Companyia de l'Institut del Teatre de Barcelona (1).
IT Dansa Jove Companyia de l'Institut del Teatre de Barcelona i Conservatori Superior de Dansa de l'Institut del Teatre de Barcelona (2, 3 i 4)",,"Fundació Antoni Tàpies","ambient",,"DVD Doble capa","Color","Moviment a ""Entrevidas""
(Entre vidas)
"
"23 oct, 20 nov, 18 des 2010 i 15 gen 2011",,"1. 00:57:58
2. 00:51:02
3. 00:55:50
4. 00:50:50","Anna Maria Maiolino","Nivell -2",844,"Ballarins:
1. Morgan Reid, Amélie Ségarra, Mª Pilar Sospreda.
2. Eulàlia Bergada, Margherita Bergamo, Àngela Boix, Juan Carlo Castillo, Albert Garcia, Laura Gutiérrez, Juliette Louste, Karolina Rychlik.
3. Simona Argentieri, Zoe Desquènes, Albert Garcia, Laura Gutiérrez, Juliette Louste, Oscar Pérez.
4. Margherita Bergamo, Doe Desquènes, Albert Garcia, Laura Gutiérrez, Juliette Louste, Ángela Peris, Morgan Reid, Karolina Rychlik, Amélie Ségarra.
",,"Fundació Antoni Tàpies.
IT Dansa Jove Companyia de l'Institut del Teatre de Barcelona (1).
IT Dansa Jove Companyia de l'Institut del Teatre de Barcelona i Conservatori Superior de Dansa de l'Institut del Teatre de Barcelona (2, 3 i 4)",,"Fundació Antoni Tàpies","ambient","còpia","DVD Doble capa","Color","Moviment a ""Entrevidas""
(Entre vidas)
"
"1970, 1969-70 i 1974","031_FV5_C017_NI83","4 min 45 seg, 28 seg i 15 minuts","Marcel Broodthaers cinema","vídeo de pel.lícules per premsa",83,"Còpia amb vídeo de 3 films per premsa","Babuin, digitalització (gener 2011)",,"bona","Marcel Broodthaers","mut","còpia 1","Betacam SP S","color, blanc i negre i color","MTL (DTH), Défense de fumer i Figures of Wax (Jeremy Bentham)"
"1970, 1969-70 i 1974",,"4 min 45 seg, 28 seg i 15 minuts","Marcel Broodthaers cinema","vídeo de pel.lícules per premsa",84,"Còpia amb vídeo de 3 films per premsa",,,"bona","Marcel Broodthaers","mut","còpia 2","Betacam BCT-30 M","color, blanc i negre i color","MTL (DTH), Défense de fumer i Figures of Wax (Jeremy Bentham)"
"1970, 1969-70 i 1974",,"4 min 45 seg, 28 seg i 15 minuts","Marcel Broodthaers cinema","vídeo de pel.lícules per premsa",85,"Còpia amb vídeo de 3 films per premsa",,,"bona","Marcel Broodthaers","mut","còpia 3","Betacam BCT-30 M","color, blanc i negre i color","MTL (DTH), Défense de fumer i Figures of Wax (Jeremy Bentham)"
"1970, 1969-70 i 1974",,"4 min 45 seg, 28 seg i 15 minuts","Marcel Broodthaers cinema","vídeo de pel.lícules per premsa",86,"Còpia amb vídeo de 3 films per premsa",,,"bona","Marcel Broodthaers","mut","còpia 4","Betacam BCT-30 M","color, blanc i negre i color","MTL (DTH), Défense de fumer i Figures of Wax (Jeremy Bentham)"
"2004
",,"20 min.","Tour-ismes. La derrota de la dissensió",,567,,"Montse Romaní 27/2/07",,"buena","Rogelio López Cuenca","con sonido. Idioma castellano","1","dvd","color y blaco-negro","Nerja Once A"
"2004
",,"20 min.","Tour-ismes. La derrota de la dissensió",,568,,"Montse Romaní 27/2/07",,"buena","Rogelio López Cuenca","con sonido. Idioma castellano","1","dvd","color y blaco-negro","Nerja Once B"
"2004
",,"20 min.","Tour-ismes. La derrota de la dissensió",,569,,"Montse Romaní 27/2/07",,"buena","Rogelio López Cuenca","con sonido. Idioma castellano","1","dvd","color y blaco-negro","Nerja Once C"
,"054_FV7_C016_NI788","02:18:00","Representacions àrabs contemporànies. Beirut / Líban",,788,,"Babuin, digitalització (gener 2011)",,,,,,"VHS",,"Nightfall"
"1927, 1963-66, 1961, 1967, 1970, 1985","040_FV7_C016_NI399","71 min.","El Cinema Calculat","auditori",399,"cedida per Barcelona Televisió","Babuin, digitalització (gener 2011)","BTV",,"BTV","si","1/1","VHS","color","Nocions de càlcul: München-Berlin Wanderung, Lapis, Catalog, Poemfield 5, Osaka 1-2-3, Calculated Movements"
"1973",,"25''","Lygia Clark","Auditori",106,"Se li ha tret part del so","Original digital està a Manual","PLUG, Rio de Janeiro","bona","Eduardo Clark","si","original","BETACAMP SP (extret d'un film 35 mm.)","b/n","O mundo de Lygia Clark"
"1973",,"25''","Lygia Clark","Auditori",107,"Se li ha tret part del so
CÒPIA TRENCADA. INSERVIBLE!!","Original digital està a Manual
Rosa Martínez el 3.2.99","PLUG, Rio de Janeiro","bona","Eduardo Clark","si","còpia 1","VHS","b/n","O mundo de Lygia Clark"
"1973",,"25''","Lygia Clark","Auditori",108,"Se li ha tret part del so
Prestat a Piet Coesens del Palais des Beaux Arts. 28.5.98","Original digital està a Manual","PLUG, Rio de Janeiro","bona","Eduardo Clark","si","còpia 2","VHS","b/n","O mundo de Lygia Clark"
"1973",,"25''","Lygia Clark","Auditori",109,"Se li ha tret part del so
Còpia enviada amb l'exposició al MAC (Marsella)","Original digital està a Manual","PLUG, Rio de Janeiro","bona","Eduardo Clark","si","còpia 3","VHS","b/n","O mundo de Lygia Clark"
"1973",,"25''","Lygia Clark","Auditori",110,"Se li ha tret part del so
Còpia enviada amb l'exposició al MAC (Marsella)","Original digital està a Manual","PLUG, Rio de Janeiro","bona","Eduardo Clark","si","còpia 4","VHS","b/n","O mundo de Lygia Clark"
